Concert,Phrase,Musician1,Musician2,Texture,Pair,F_M1_M2,p_M1_M2,F_M2_M1,p_M2_M1,p_M1_M2_Bin,p_M2_M1_Bin,avgF,Melody Instrument
BrahmsConcertPart1,File13,m2,m4,P,m2_m4,3.061910252,2.26E-07,1.124605339,0.299387656,1,0,2.093257796,Mixed
BrahmsConcertPart1,File13,m2,m5,P,m2_m5,1.723566622,0.01095808,1.470669139,0.053764416,1,0,1.59711788,Mixed
BrahmsConcertPart1,File13,m3,m4,P,m3_m4,2.158299502,0.000457325,0.989297567,0.484791116,1,0,1.573798535,Mixed
BrahmsConcertPart1,File13,m3,m5,P,m3_m5,0.843743765,0.706350091,1.995989822,0.001578494,0,1,1.419866793,Mixed
BrahmsConcertPart1,File13,m4,m5,P,m4_m5,1.50216035,0.044690506,3.496140396,4.52E-09,1,1,2.499150373,Mixed
BrahmsConcertPart2,File13,m1,m2,H,m1_m2,1.274531628,0.148371035,1.207434776,0.205331057,0,0,1.240983202,m5
BrahmsConcertPart2,File13,m1,m3,H,m1_m3,1.137119447,0.280183216,1.234458491,0.180726386,0,0,1.185788969,m5
BrahmsConcertPart2,File13,m1,m4,H,m1_m4,1.509707796,0.039195992,0.942118691,0.556662999,1,0,1.225913244,m5
BrahmsConcertPart2,File13,m1,m5,H,m1_m5,2.018419378,0.001015246,1.431239522,0.063017212,1,0,1.72482945,m5
BrahmsConcertPart2,File13,m2,m3,H,m2_m3,0.76833202,0.810985401,0.767760078,0.811691927,0,0,0.768046049,m5
BrahmsConcertPart2,File13,m2,m4,H,m2_m4,1.183905849,0.2286315,1.139158806,0.277792817,0,0,1.161532327,m5
BrahmsConcertPart2,File13,m2,m5,H,m2_m5,0.596982705,0.958623149,1.158735555,0.255506548,0,0,0.87785913,m5
BrahmsConcertPart2,File13,m3,m4,H,m3_m4,0.903682819,0.616875697,0.881183712,0.651731136,0,0,0.892433265,m5
BrahmsConcertPart2,File13,m3,m5,H,m3_m5,0.929661971,0.576203345,0.956956372,0.533443476,0,0,0.943309172,m5
BrahmsConcertPart2,File13,m4,m5,H,m4_m5,1.07579036,0.357860626,1.122906929,0.297197221,0,0,1.099348645,m5
BrahmsConcertPart2,File14,m1,m2,P,m1_m2,0.715889602,0.869159097,0.862901743,0.679009763,0,0,0.789395672,Mixed
BrahmsConcertPart2,File14,m1,m3,P,m1_m3,1.12598133,0.295134113,0.604435142,0.954256174,0,0,0.865208236,Mixed
BrahmsConcertPart2,File14,m1,m4,P,m1_m4,1.651417138,0.016342363,1.013582808,0.447443178,1,0,1.332499973,Mixed
BrahmsConcertPart2,File14,m1,m5,P,m1_m5,0.969476841,0.514302837,0.913682636,0.601080152,0,0,0.941579738,Mixed
BrahmsConcertPart2,File14,m2,m3,P,m2_m3,0.956875646,0.533799701,0.773208276,0.803924484,0,0,0.865041961,Mixed
BrahmsConcertPart2,File14,m2,m4,P,m2_m4,0.618125937,0.946778792,1.019888427,0.438125742,0,0,0.819007182,Mixed
BrahmsConcertPart2,File14,m2,m5,P,m2_m5,0.522261979,0.984373443,1.222637348,0.193243753,0,0,0.872449664,Mixed
BrahmsConcertPart2,File14,m3,m4,P,m3_m4,0.457539378,0.994761116,0.536952969,0.980624062,0,0,0.497246174,Mixed
BrahmsConcertPart2,File14,m3,m5,P,m3_m5,0.717347091,0.867673421,0.520101191,0.984874261,0,0,0.618724141,Mixed
BrahmsConcertPart2,File14,m4,m5,P,m4_m5,1.367131391,0.092760801,1.121491803,0.300567553,0,0,1.244311597,Mixed
BrahmsConcertPart1,File16,m1,m2,P,m1_m2,1.097201588,0.334279691,1.579357744,0.028683673,0,1,1.338279666,Mixed
BrahmsConcertPart1,File16,m1,m3,P,m1_m3,1.390557348,0.085610315,0.860535036,0.681257403,0,0,1.125546192,Mixed
BrahmsConcertPart1,File16,m1,m4,P,m1_m4,0.732295007,0.849632778,1.018681829,0.441727266,0,0,0.875488418,Mixed
BrahmsConcertPart1,File16,m1,m5,P,m1_m5,0.775001105,0.799497237,1.598981876,0.0253854,0,1,1.186991491,Mixed
BrahmsConcertPart1,File16,m2,m3,P,m2_m3,0.827712655,0.728880318,0.712299222,0.870548737,0,0,0.770005939,Mixed
BrahmsConcertPart1,File16,m2,m4,P,m2_m4,0.912525363,0.602488452,0.984263187,0.492708253,0,0,0.948394275,Mixed
BrahmsConcertPart1,File16,m2,m5,P,m2_m5,1.082421693,0.353349186,1.509206037,0.04377557,0,1,1.295813865,Mixed
BrahmsConcertPart1,File16,m3,m4,P,m3_m4,1.071522101,0.367791245,1.172330736,0.246831257,0,0,1.121926419,Mixed
BrahmsConcertPart1,File16,m3,m5,P,m3_m5,1.302222321,0.13536446,1.237749952,0.184500623,0,0,1.269986137,Mixed
BrahmsConcertPart1,File16,m4,m5,P,m4_m5,0.854324258,0.690433197,1.020137566,0.439613195,0,0,0.937230912,Mixed
BrahmsConcertPart1,File17,m1,m2,P,m1_m2,1.506418462,0.043007829,1.326596969,0.117616707,1,0,1.416507716,Mixed
BrahmsConcertPart1,File17,m1,m3,P,m1_m3,1.3062915,0.130492918,1.024443267,0.43246407,0,0,1.165367383,Mixed
BrahmsConcertPart1,File17,m1,m4,P,m1_m4,0.885534792,0.644151469,1.116881445,0.308087295,0,0,1.001208119,Mixed
BrahmsConcertPart1,File17,m1,m5,P,m1_m5,1.374816107,0.091142821,1.20361577,0.213316586,0,0,1.289215938,Mixed
BrahmsConcertPart1,File17,m2,m3,P,m2_m3,1.229807875,0.189232243,1.422619257,0.070006991,0,0,1.326213566,Mixed
BrahmsConcertPart1,File17,m2,m4,P,m2_m4,1.228349899,0.19051804,0.899222883,0.623184058,0,0,1.063786391,Mixed
BrahmsConcertPart1,File17,m2,m5,P,m2_m5,1.204946492,0.212042352,0.880590062,0.651678882,0,0,1.042768277,Mixed
BrahmsConcertPart1,File17,m3,m4,P,m3_m4,1.182128074,0.234647629,1.41632081,0.072527347,0,0,1.299224442,Mixed
BrahmsConcertPart1,File17,m3,m5,P,m3_m5,1.171759567,0.245434926,0.982199726,0.495312716,0,0,1.076979647,Mixed
BrahmsConcertPart1,File17,m4,m5,P,m4_m5,1.069286774,0.369464327,1.669581155,0.015366702,0,1,1.369433964,Mixed
